strategy,qty,MAE
pca,1,1.4531335026687917
pca,1,1.496055018337511
pca,1,1.609506610288374
pca,1,1.559706359450358
pca,1,1.4401495285378156
pca,1,1.5396035466428446
ppscore,1,1.1068984744949661
ppscore,1,1.0557419400900474
ppscore,1,1.1073997867318697
ppscore,1,1.0709320780381997
ppscore,1,1.116726664307826
ppscore,1,1.1011243968770825
pearson,1,1.6875188096170677
pearson,1,1.6404130073721226
pearson,1,1.6361962021899237
pearson,1,1.42594721637244
pearson,1,1.5651389041398465
pearson,1,1.6036817113443942
pca,2,1.3341681866703736
pca,2,1.1325780428426326
pca,2,1.2380304838801672
pca,2,1.2354108412510805
pca,2,0.8485286122584483
pca,2,0.8614245087755779
ppscore,2,1.0035364341712951
ppscore,2,1.0569564389043726
ppscore,2,1.0774583507288682
ppscore,2,1.1543872877193584
ppscore,2,1.0462277178548751
ppscore,2,1.1674750383323638
pearson,2,1.7221407544398588
pearson,2,1.70987067260307
pearson,2,1.9955565464527163
pearson,2,1.6635594600958792
pearson,2,1.848749073601846
pearson,2,1.4756150194273372
pca,3,0.8101457782801296
pca,3,1.1143359854909127
pca,3,0.6567761975353731
pca,3,1.090153047003664
pca,3,0.9027308865993028
pca,3,1.0675445846652425
ppscore,3,1.2789628219208333
ppscore,3,1.1299160454693875
ppscore,3,1.3348531736394207
ppscore,3,1.3864890457454708
ppscore,3,1.4280881737791953
ppscore,3,1.819970209502266
pearson,3,1.1946802158181626
pearson,3,1.3459617622954878
pearson,3,1.1487657054426217
pearson,3,1.292704116115341
pearson,3,1.5998233558122241
pearson,3,1.383023251891924
pca,4,1.1280416141787029
pca,4,1.1438791978283087
pca,4,1.5465734035602337
pca,4,1.4084987902808799
pca,4,0.8216536996465571
pca,4,1.302483029620446
ppscore,4,1.5979983939600502
ppscore,4,1.7233403242397107
ppscore,4,1.8062011501357362
ppscore,4,1.865149908650435
ppscore,4,1.4675093047368166
ppscore,4,1.6550447228564413
pearson,4,1.1668919654109728
pearson,4,1.469230167587479
pearson,4,1.4818603546656366
pearson,4,1.3880822386196234
pearson,4,1.002811822058086
pearson,4,1.0224499121738646
pca,5,2.537082103260982
pca,5,2.4320440284664055
pca,5,1.4958772018757667
pca,5,1.5839411891392183
pca,5,2.0061639012945083
pca,5,1.9207301288100989
ppscore,5,1.3956374849692932
ppscore,5,1.687453514809507
ppscore,5,1.7529465279208578
ppscore,5,2.0345464086710594
ppscore,5,1.4319668137923551
ppscore,5,1.4334360905173573
pearson,5,1.2170460549769175
pearson,5,1.414554199544141
pearson,5,1.387578903404573
pearson,5,1.1485195019014367
pearson,5,1.598842746022425
pearson,5,1.6513785675253543
pca,6,1.6597270259705692
pca,6,1.5934349337900828
pca,6,1.8808464406961503
pca,6,1.2456267001060366
pca,6,1.1196892964655805
pca,6,1.3183637430073383
ppscore,6,1.8489559675541658
ppscore,6,2.098416983431874
ppscore,6,1.6079263400110604
ppscore,6,1.5721489487440206
ppscore,6,2.604594379841809
ppscore,6,1.7033151127386608
pearson,6,0.9868515052713277
pearson,6,1.2552659846505456
pearson,6,1.2800259918959995
pearson,6,0.8986115676585599
pearson,6,1.015957606108086
pearson,6,1.304382074506073
pca,7,1.3661363485389924
pca,7,1.2505083920975695
pca,7,2.13068133634849
pca,7,1.3078559712354836
pca,7,2.180822328197023
pca,7,2.433315356765072
ppscore,7,2.0746873660421588
ppscore,7,1.6113085801276126
ppscore,7,1.8708796928824754
ppscore,7,1.5511882390467
ppscore,7,2.1267447537050828
ppscore,7,2.3927583694723076
pearson,7,1.598866259535182
pearson,7,1.7806157962935596
pearson,7,1.0482330526511607
pearson,7,0.9973988880490807
pearson,7,1.8156765227352138
pearson,7,0.9253921451788125
pca,8,2.075039996140904
pca,8,2.019704713837196
pca,8,1.1493792548738218
pca,8,2.21468505291717
pca,8,2.2429855577486926
pca,8,1.5351025836599592
ppscore,8,2.069744473166286
ppscore,8,1.722642399818179
ppscore,8,2.3748655911136045
ppscore,8,1.3698759707283297
ppscore,8,1.8868434940119623
ppscore,8,1.6743965193112436
pearson,8,1.8954606401035157
pearson,8,1.32334499564083
pearson,8,1.5661376632938768
pearson,8,1.0900012264847159
pearson,8,1.2802610191148533
pearson,8,1.4341179987399697
pca,9,1.8035603366506567
pca,9,1.9229568327579623
pca,9,2.228108131348637
pca,9,1.930119624409802
pca,9,1.2403760997090132
pca,9,1.491764232914041
ppscore,9,1.3745886225933008
ppscore,9,1.2553915922526053
ppscore,9,1.2156352539338093
ppscore,9,1.6781658306613783
ppscore,9,1.2220667981229436
ppscore,9,1.570086684221663
pearson,9,0.8518178144351986
pearson,9,2.8240917549901345
pearson,9,1.753585471365444
pearson,9,2.316417449800272
pearson,9,1.133722982129391
pearson,9,1.1610387446933026
pca,10,2.9798492180860054
pca,10,1.6074127120585853
pca,10,1.6590691811503628
pca,10,2.547254631304339
pca,10,1.706927140078701
pca,10,2.0922619102899795
ppscore,10,1.9209555716366313
ppscore,10,1.422252345842638
ppscore,10,1.811808802228917
ppscore,10,2.061311535082145
ppscore,10,1.751323185530772
ppscore,10,2.5370886576419758
pearson,10,1.0684145907833298
pearson,10,2.5611155862762294
pearson,10,2.9451834506619132
pearson,10,1.1658716565826919
pearson,10,1.1797707744469628
