Measured Depth m,TOFB s,AVG_CONF unitless,MIN_CONF unitless,Average Rotary Speed rpm,Corrected Surface Weight on Bit kkgf,Corrected Total Hookload kkgf,MWD Turbine RPM rpm,MWD Raw Gamma Ray 1/s,Pump 2 Stroke Rate 1/min,Rate of Penetration m/h,Bit Drill Time h,Corrected Hookload kkgf,MWD GR Bit Confidence Flag %,Pump Time h,PowerUP Shock Rate 1/s,Total SPM 1/min,Average Hookload kkgf,Total Hookload kkgf,Extrapolated Hole TVD m,MWD Gamma Ray (API BH corrected) gAPI,EDRT unitless,Pump 1 Stroke Rate 1/min,Total Bit Revolutions unitless,Mud Density In g/cm3.1,Weight on Bit kkgf,Hole Depth (TVD) m,MWD Shock Risk unitless,Bit run number unitless,Inverse ROP s/m,Pump 4 Stroke Rate 1/min,Rig Mode unitless,MWD Shock Peak m/s2,SPN Sp_RigMode 2hz unitless,Average Standpipe Pressure kPa,Rate of Penetration (5ft avg) m/h,AJAM_MWD unitless,1/2ft ROP m/h,Hole depth (MD) m,Mud Flow In L/min,BHFG unitless,MWD DNI Temperature degC,Average Surface Torque kN.m,Total Downhole RPM rpm,SHK3TM_RT min,Pump 3 Stroke Rate 1/min,Inverse ROP (5ft avg) s/m,S1AC kPa,S2AC kPa,IMWT g/cm3,OSTM s,RNN
0.00029186642,-0.050081186,0.0008653807,0.0011642218,0.037673995,-0.009702038,0.00018866907,-0.005697563,-0.0027195977,0.00030024795,-0.009052971,0.0035546073,0.023250308,0.0032153646,0.006230838,0.0,-0.010155218,0.023250308,-0.040191427,0.00043615146,-0.0027186417,-0.0011780537,-0.010150363,0.0062435167,0.00012824209,-0.04304508,0.0003044833,0.0,0.0,0.0044344002,0.0,0.0,0.005034075,0.0,-0.01049618,-0.012234969,0.0,-0.008976102,0.00029566753,-0.010155688,0.0,0.0044030664,0.030039394,0.037673995,0.0,-0.010217171,0.008348581,-0.0014096875,-0.004789428,0.00012824209,-0.032227848,0.48224884
Measured Depth m,TOFB s,AVG_CONF unitless,MIN_CONF unitless,Average Rotary Speed rpm,Corrected Surface Weight on Bit kkgf,Corrected Total Hookload kkgf,MWD Turbine RPM rpm,MWD Raw Gamma Ray 1/s,Pump 2 Stroke Rate 1/min,Rate of Penetration m/h,Bit Drill Time h,Corrected Hookload kkgf,MWD GR Bit Confidence Flag %,Pump Time h,PowerUP Shock Rate 1/s,Total SPM 1/min,Average Hookload kkgf,Total Hookload kkgf,Extrapolated Hole TVD m,MWD Gamma Ray (API BH corrected) gAPI,EDRT unitless,Pump 1 Stroke Rate 1/min,Total Bit Revolutions unitless,Mud Density In g/cm3.1,Weight on Bit kkgf,Hole Depth (TVD) m,MWD Shock Risk unitless,Bit run number unitless,Inverse ROP s/m,Pump 4 Stroke Rate 1/min,Rig Mode unitless,MWD Shock Peak m/s2,SPN Sp_RigMode 2hz unitless,Average Standpipe Pressure kPa,Rate of Penetration (5ft avg) m/h,AJAM_MWD unitless,1/2ft ROP m/h,Hole depth (MD) m,Mud Flow In L/min,BHFG unitless,MWD DNI Temperature degC,Average Surface Torque kN.m,Total Downhole RPM rpm,SHK3TM_RT min,Pump 3 Stroke Rate 1/min,Inverse ROP (5ft avg) s/m,S1AC kPa,S2AC kPa,IMWT g/cm3,OSTM s,RNN
-0.0165882,0.104130924,-0.0029134806,-0.002841135,0.0020838885,-0.016999884,-0.016483946,0.010930413,-0.006032489,0.0010839849,0.011744999,-0.018824391,-0.0061962926,0.0016247816,-0.017525647,0.0,0.018606696,-0.0061962926,-0.013353564,-0.016769372,-0.0060312054,0.0024752722,0.018384794,-0.017859597,0.009727969,-0.012774857,-0.016546052,0.0,0.0,-0.004537776,0.0,0.0,0.0027231257,0.0,0.012469533,0.014156191,0.0,0.012776842,-0.01660241,0.018608054,0.0,-0.017025365,0.01123521,0.0020838885,0.0,0.018395448,-0.010294411,0.012614789,0.012590844,0.009727969,0.0021994994,0.5606741
Measured Depth m,TOFB s,AVG_CONF unitless,MIN_CONF unitless,Average Rotary Speed rpm,Corrected Surface Weight on Bit kkgf,Corrected Total Hookload kkgf,MWD Turbine RPM rpm,MWD Raw Gamma Ray 1/s,Pump 2 Stroke Rate 1/min,Rate of Penetration m/h,Bit Drill Time h,Corrected Hookload kkgf,MWD GR Bit Confidence Flag %,Pump Time h,PowerUP Shock Rate 1/s,Total SPM 1/min,Average Hookload kkgf,Total Hookload kkgf,Extrapolated Hole TVD m,MWD Gamma Ray (API BH corrected) gAPI,EDRT unitless,Pump 1 Stroke Rate 1/min,Total Bit Revolutions unitless,Mud Density In g/cm3.1,Weight on Bit kkgf,Hole Depth (TVD) m,MWD Shock Risk unitless,Bit run number unitless,Inverse ROP s/m,Pump 4 Stroke Rate 1/min,Rig Mode unitless,MWD Shock Peak m/s2,SPN Sp_RigMode 2hz unitless,Average Standpipe Pressure kPa,Rate of Penetration (5ft avg) m/h,AJAM_MWD unitless,1/2ft ROP m/h,Hole depth (MD) m,Mud Flow In L/min,BHFG unitless,MWD DNI Temperature degC,Average Surface Torque kN.m,Total Downhole RPM rpm,SHK3TM_RT min,Pump 3 Stroke Rate 1/min,Inverse ROP (5ft avg) s/m,S1AC kPa,S2AC kPa,IMWT g/cm3,OSTM s,RNN
0.004830775,-0.07028407,-0.004844697,-0.0038206237,0.012968459,0.001602559,0.00462822,-0.0030034806,0.010062141,0.00041849847,-0.017963102,0.009373426,0.009872075,0.0044553615,0.012566706,0.0,-0.0064683734,0.009872075,-0.07451066,0.0049107624,0.010060272,-0.000711563,-0.0064859507,0.013626229,0.0015376798,-0.076982535,0.0047149346,0.0,0.0,0.008960317,0.0,0.0,0.004687266,0.0,-0.0038775022,-0.020110413,0.0,-0.018421017,0.00484125,-0.006469302,0.0,0.008509875,0.0055618105,0.012968459,0.0,-0.006553417,0.013051067,-0.004952703,-0.007813554,0.0015376798,-0.061685607,0.5876247
Measured Depth m,TOFB s,AVG_CONF unitless,MIN_CONF unitless,Average Rotary Speed rpm,Corrected Surface Weight on Bit kkgf,Corrected Total Hookload kkgf,MWD Turbine RPM rpm,MWD Raw Gamma Ray 1/s,Pump 2 Stroke Rate 1/min,Rate of Penetration m/h,Bit Drill Time h,Corrected Hookload kkgf,MWD GR Bit Confidence Flag %,Pump Time h,PowerUP Shock Rate 1/s,Total SPM 1/min,Average Hookload kkgf,Total Hookload kkgf,Extrapolated Hole TVD m,MWD Gamma Ray (API BH corrected) gAPI,EDRT unitless,Pump 1 Stroke Rate 1/min,Total Bit Revolutions unitless,Mud Density In g/cm3.1,Weight on Bit kkgf,Hole Depth (TVD) m,MWD Shock Risk unitless,Bit run number unitless,Inverse ROP s/m,Pump 4 Stroke Rate 1/min,Rig Mode unitless,MWD Shock Peak m/s2,SPN Sp_RigMode 2hz unitless,Average Standpipe Pressure kPa,Rate of Penetration (5ft avg) m/h,AJAM_MWD unitless,1/2ft ROP m/h,Hole depth (MD) m,Mud Flow In L/min,BHFG unitless,MWD DNI Temperature degC,Average Surface Torque kN.m,Total Downhole RPM rpm,SHK3TM_RT min,Pump 3 Stroke Rate 1/min,Inverse ROP (5ft avg) s/m,S1AC kPa,S2AC kPa,IMWT g/cm3,OSTM s,RNN
-0.008458916,-0.03337827,0.011185275,0.0069969017,0.05048931,-0.024972208,-0.008376123,-0.01588253,-0.024359236,0.001532492,-0.03133307,-0.007281208,0.051330853,0.00069872197,0.0018001329,0.0,-0.025477882,0.051330853,-0.0032320742,-0.008255756,-0.02435273,-0.003913407,-0.025690049,0.0005926443,-0.0044511217,-0.009318917,-0.008187526,0.0,0.0,0.017234374,0.0,0.0,0.0014677034,0.0,-0.029086372,-0.03851276,0.0,-0.032402806,-0.008466633,-0.025476841,0.0,0.0044502704,0.031945553,0.05048931,0.0,-0.025781276,0.032265004,-0.0035386279,-0.0041204165,-0.0044511217,-0.0157826,0.7726408
Measured Depth m,TOFB s,AVG_CONF unitless,MIN_CONF unitless,Average Rotary Speed rpm,Corrected Surface Weight on Bit kkgf,Corrected Total Hookload kkgf,MWD Turbine RPM rpm,MWD Raw Gamma Ray 1/s,Pump 2 Stroke Rate 1/min,Rate of Penetration m/h,Bit Drill Time h,Corrected Hookload kkgf,MWD GR Bit Confidence Flag %,Pump Time h,PowerUP Shock Rate 1/s,Total SPM 1/min,Average Hookload kkgf,Total Hookload kkgf,Extrapolated Hole TVD m,MWD Gamma Ray (API BH corrected) gAPI,EDRT unitless,Pump 1 Stroke Rate 1/min,Total Bit Revolutions unitless,Mud Density In g/cm3.1,Weight on Bit kkgf,Hole Depth (TVD) m,MWD Shock Risk unitless,Bit run number unitless,Inverse ROP s/m,Pump 4 Stroke Rate 1/min,Rig Mode unitless,MWD Shock Peak m/s2,SPN Sp_RigMode 2hz unitless,Average Standpipe Pressure kPa,Rate of Penetration (5ft avg) m/h,AJAM_MWD unitless,1/2ft ROP m/h,Hole depth (MD) m,Mud Flow In L/min,BHFG unitless,MWD DNI Temperature degC,Average Surface Torque kN.m,Total Downhole RPM rpm,SHK3TM_RT min,Pump 3 Stroke Rate 1/min,Inverse ROP (5ft avg) s/m,S1AC kPa,S2AC kPa,IMWT g/cm3,OSTM s,RNN
-0.04102209,0.09907473,-0.011205447,-0.014087749,0.028534058,-0.049865477,-0.040995054,0.0077024945,-0.0023705661,0.0029284402,-0.03381897,-0.03486706,0.026493454,0.011283355,-0.019713135,0.0,0.0096024135,0.026493454,-0.164777,-0.041024443,-0.002368642,0.0035483558,0.009281782,-0.019412568,0.03065019,-0.16670953,-0.04078143,0.0,0.0,0.018032929,0.0,0.0,-0.00594219,0.0,-0.0015644607,-0.04032201,0.0,-0.0341882,-0.041044716,0.009603302,0.0,-0.028414274,0.015206904,0.028534058,0.0,0.009215177,0.028975336,0.001559181,-0.0031885114,0.03065019,-0.12326544,0.21746174
