,smartfill,MAE
0,0.0,7.391380173845327
0,0.0,7.595966160290611
0,0.0,7.260603183273651
0,0.0,7.460773415857787
0,0.0,7.294813560436663
0,0.0,7.191078923130201
0,0.0,7.257922150295788
0,0.100001,7.192269265026694
0,0.100001,7.282790772862083
0,0.100001,7.122822941328553
0,0.100001,7.6079250228879625
0,0.100001,7.204278239821433
0,0.100001,7.432747304778899
0,0.200002,7.2688754140279475
0,0.200002,7.582016757671451
0,0.200002,7.534477732003062
0,0.200002,7.312196973219303
0,0.200002,7.617174662819416
0,0.200002,7.15025828352837
0,0.300003,7.122063045641222
0,0.300003,7.265720119560218
0,0.300003,7.30430839251261
0,0.300003,7.17409904213128
0,0.300003,7.128303107012599
0,0.300003,7.163598597601642
0,0.400004,7.240271658914201
0,0.400004,7.352561155333792
0,0.400004,7.146898220590147
0,0.400004,7.383501016573263
0,0.400004,7.276921333407176
0,0.400004,7.514976049978992
0,0.500005,7.319189351359339
0,0.500005,7.38095099527973
0,0.500005,7.50083223357757
0,0.500005,7.080270611635687
0,0.500005,7.064258703116653
0,0.500005,7.300156133044603
0,0.600006,7.171145134103909
0,0.600006,7.54645164160082
0,0.600006,7.394262219650649
0,0.600006,7.279963887897514
0,0.600006,7.389586828537689
0,0.600006,7.56837534302027
0,0.700007,7.198189267201182
0,0.700007,6.862604687204341
0,0.700007,7.604124685462773
0,0.700007,7.2488253016959865
0,0.700007,7.074467471481652
0,0.700007,7.343341055329755
0,0.800008,7.357120452888789
0,0.800008,7.1617949786579524
0,0.800008,7.289404768995949
0,0.800008,7.436851575001715
0,0.800008,7.308047708449903
0,0.800008,7.474598677309693
0,0.9000090000000001,7.569250953142212
0,0.9000090000000001,7.435121182318673
0,0.9000090000000001,7.355531880739223
0,0.9000090000000001,7.251033684392761
0,0.9000090000000001,7.3729107306003785
0,0.9000090000000001,7.341376504753489
0,1.00001,7.266202083423471
0,1.00001,7.149964899656138
0,1.00001,7.283720981621562
0,1.00001,7.0714152310035265
0,1.00001,7.114776652724401
0,1.00001,7.0956271417430905
0,0.0,7.116951640909005
0,0.0,7.261597137991845
0,0.0,7.388712359532498
0,0.0,7.618115213073001
0,0.0,7.543167277872094
0,0.0,7.3417096169461855
0,0.100001,7.282313174056593
0,0.100001,7.019540290703318
0,0.100001,7.215859726798969
0,0.100001,7.1823627260328005
0,0.100001,7.206883897705795
0,0.100001,7.384385279508022
0,0.200002,7.535091593815071
0,0.200002,7.167644620476322
0,0.200002,7.127981636625062
0,0.200002,7.031661048860642
0,0.200002,7.206871209511954
0,0.200002,7.604429674192908
0,0.300003,7.344109659298489
0,0.300003,7.402033180482244
0,0.300003,7.188313080915738
0,0.300003,7.010258906800835
0,0.300003,7.563819071634362
0,0.300003,7.360992333041368
0,0.400004,7.448252429881861
0,0.400004,7.1531556210721625
0,0.400004,6.859621191009486
0,0.400004,7.043374013450156
0,0.400004,7.11240869458401
0,0.400004,7.414631566646176
0,0.500005,7.523714967606467
0,0.500005,7.20260760951945
0,0.500005,7.1398683782236825
0,0.500005,7.475163462534083
0,0.500005,7.300613920856724
0,0.500005,7.575298291838134
0,0.600006,7.601126587749708
0,0.600006,7.486253389882612
0,0.600006,7.217332214322962
0,0.600006,7.165961278683382
0,0.600006,7.293321449653764
0,0.600006,7.348195903667311
0,0.700007,7.467007504508328
0,0.700007,7.329894938023001
0,0.700007,7.404123333939721
0,0.700007,7.1775200821581135
0,0.700007,7.059302331760962
0,0.700007,6.931632052754391
0,0.800008,7.612028074637127
0,0.800008,7.156245478750308
0,0.800008,7.378534782608771
0,0.800008,7.507411220347652
0,0.800008,7.146045526771004
0,0.800008,7.256211763948589
0,0.9000090000000001,7.459959698237439
0,0.9000090000000001,7.254262682801438
0,0.9000090000000001,7.526820685288852
0,0.9000090000000001,7.2816196431268985
0,0.9000090000000001,7.381750382534455
0,0.9000090000000001,7.1854990188899635
0,1.00001,7.01668521881193
0,1.00001,7.107553305193169
0,1.00001,7.320481474880955
0,1.00001,7.194014681880981
0,1.00001,7.188495161406038
0,1.00001,7.461062130533623
0,0.0,7.816141144810858
0,0.0,7.37549652106841
0,0.0,7.332732259879259
0,0.0,7.5745844065339165
0,0.0,7.509876509619898
0,0.0,7.6170981130312505
0,0.100001,7.26709239333244
0,0.100001,7.073296533225502
0,0.100001,7.108356099384119
0,0.100001,7.013459277183545
0,0.100001,7.413933143428425
0,0.100001,7.466667905958871
0,0.200002,7.027587624203768
0,0.200002,7.019105496493921
0,0.200002,7.375362762507807
0,0.200002,7.072678716460845
